run_key,dataset_name,seed,setting_id,setting_name,model_name,variant,label_noise,missing_rate,imbalance_level,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
balance_scale__seed1__setting1__LogisticRegression__default,balance_scale,1,1,noise_only,LogisticRegression,default,0.2,0.0,natural,0.0329,468,94,0.8726114649681529,0.6296296296296297,0.6059267114410275,0.8393019972847194,0.7801451075652207,0.0
balance_scale__seed1__setting1__LogisticRegression__tuned,balance_scale,1,1,noise_only,LogisticRegression,tuned,0.2,0.0,natural,0.0319,468,94,0.8726114649681529,0.6296296296296297,0.6059267114410275,0.8393019972847194,0.7801451075652207,0.0
balance_scale__seed1__setting1__RandomForest__default,balance_scale,1,1,noise_only,RandomForest,default,0.2,0.0,natural,0.5906,468,94,0.7515923566878981,0.5652587519025875,0.5696590814370258,0.7636813662014229,0.5800637240365588,0.08333333333333333
balance_scale__seed1__setting1__RandomForest__tuned,balance_scale,1,1,noise_only,RandomForest,tuned,0.2,0.0,natural,0.5763,468,94,0.8343949044585988,0.601978691019787,0.5792582093078195,0.802389776415516,0.7105309143924238,0.0
balance_scale__seed1__setting1__XGBoost__default,balance_scale,1,1,noise_only,XGBoost,default,0.2,0.0,natural,0.3396,468,94,0.732484076433121,0.5514967021816336,0.5492734122326972,0.7260735225111977,0.5299383861592561,0.08333333333333333
balance_scale__seed1__setting1__XGBoost__tuned,balance_scale,1,1,noise_only,XGBoost,tuned,0.2,0.0,natural,0.2131,468,94,0.821656050955414,0.6159309994926433,0.6137012829823287,0.8048716632206079,0.6862354552149984,0.08333333333333333
balance_scale__seed1__setting1__LightGBM__default,balance_scale,1,1,noise_only,LightGBM,default,0.2,0.0,natural,0.3064,468,94,0.7770700636942676,0.6067351598173516,0.6054806799456817,0.7747162588225376,0.6197662139023982,0.16666666666666666
balance_scale__seed1__setting1__LightGBM__tuned,balance_scale,1,1,noise_only,LightGBM,tuned,0.2,0.0,natural,0.1876,468,94,0.7834394904458599,0.6113647894469812,0.6119271988174427,0.7777620856694959,0.6282468467657797,0.16666666666666666
balance_scale__seed1__setting2__LogisticRegression__default,balance_scale,1,2,missing_only,LogisticRegression,default,0.0,0.2,natural,0.0325,468,0,0.7452229299363057,0.5375443937087773,0.5154353717450219,0.7141829504697705,0.5379406743286385,0.0
balance_scale__seed1__setting2__LogisticRegression__tuned,balance_scale,1,2,missing_only,LogisticRegression,tuned,0.0,0.2,natural,0.0334,468,0,0.7452229299363057,0.5375443937087773,0.5154353717450219,0.7141829504697705,0.5379406743286385,0.0
balance_scale__seed1__setting2__RandomForest__default,balance_scale,1,2,missing_only,RandomForest,default,0.0,0.2,natural,0.5584,468,0,0.732484076433121,0.5285388127853882,0.5268429866970014,0.7298744771895546,0.5286145396325876,0.0
balance_scale__seed1__setting2__RandomForest__tuned,balance_scale,1,2,missing_only,RandomForest,tuned,0.0,0.2,natural,0.5475,468,0,0.7834394904458599,0.5653221714865551,0.5445270110875207,0.7544322284879711,0.6058642662227248,0.0
balance_scale__seed1__setting2__XGBoost__default,balance_scale,1,2,missing_only,XGBoost,default,0.0,0.2,natural,0.3181,468,0,0.7452229299363057,0.5377346524606798,0.5301997867705002,0.7346089901832351,0.5446894230435159,0.0
balance_scale__seed1__setting2__XGBoost__tuned,balance_scale,1,2,missing_only,XGBoost,tuned,0.0,0.2,natural,0.2119,468,0,0.7515923566878981,0.5421740233384069,0.5303002507185226,0.7348257258938056,0.5551905649016886,0.0
balance_scale__seed1__setting2__LightGBM__default,balance_scale,1,2,missing_only,LightGBM,default,0.0,0.2,natural,0.3166,468,0,0.7452229299363057,0.5608193810248605,0.5595339585109406,0.7418183002915926,0.5507304438119565,0.08333333333333333
balance_scale__seed1__setting2__LightGBM__tuned,balance_scale,1,2,missing_only,LightGBM,tuned,0.0,0.2,natural,0.1906,468,0,0.7261146496815286,0.5470573313039067,0.5479980614606225,0.729682443821512,0.5228964561745623,0.08333333333333333
balance_scale__seed1__setting3__LogisticRegression__default,balance_scale,1,3,imbalance_only,LogisticRegression,default,0.0,0.0,0.8,0.0322,270,0,0.8980891719745223,0.6484018264840182,0.625475790032752,0.8666739210962382,0.8232639884035806,0.0
balance_scale__seed1__setting3__LogisticRegression__tuned,balance_scale,1,3,imbalance_only,LogisticRegression,tuned,0.0,0.0,0.8,0.0318,270,0,0.8980891719745223,0.6484018264840182,0.625475790032752,0.8666739210962382,0.8232639884035806,0.0
balance_scale__seed1__setting3__RandomForest__default,balance_scale,1,3,imbalance_only,RandomForest,default,0.0,0.0,0.8,0.5462,270,0,0.7834394904458599,0.5661466260781329,0.5624738955823293,0.7791487990177269,0.639063838397893,0.0
balance_scale__seed1__setting3__RandomForest__tuned,balance_scale,1,3,imbalance_only,RandomForest,tuned,0.0,0.0,0.8,0.5357,270,0,0.7261146496815286,0.5251141552511416,0.49877569877569883,0.6907866219968131,0.5552912676537428,0.0
balance_scale__seed1__setting3__XGBoost__default,balance_scale,1,3,imbalance_only,XGBoost,default,0.0,0.0,0.8,0.2719,270,0,0.7707006369426752,0.5568239472349061,0.5507891414141414,0.763048277359583,0.6088542964682057,0.0
balance_scale__seed1__setting3__XGBoost__tuned,balance_scale,1,3,imbalance_only,XGBoost,tuned,0.0,0.0,0.8,0.1993,270,0,0.8089171974522293,0.5844114662607813,0.5852390180878553,0.8106996494346517,0.6784535118943442,0.0
balance_scale__seed1__setting3__LightGBM__default,balance_scale,1,3,imbalance_only,LightGBM,default,0.0,0.0,0.8,0.1985,270,0,0.7834394904458599,0.5660197869101978,0.5699167074963253,0.789380751910672,0.6334557295571382,0.0
balance_scale__seed1__setting3__LightGBM__tuned,balance_scale,1,3,imbalance_only,LightGBM,tuned,0.0,0.0,0.8,0.1422,270,0,0.7834394904458599,0.5660197869101978,0.5702090079481895,0.7898239173193283,0.634848437733847,0.0
balance_scale__seed1__setting4__LogisticRegression__default,balance_scale,1,4,noise_missing,LogisticRegression,default,0.2,0.2,natural,0.0326,468,94,0.802547770700637,0.579337899543379,0.5565110565110566,0.7710684048263666,0.6405335903302649,0.0
balance_scale__seed1__setting4__LogisticRegression__tuned,balance_scale,1,4,noise_missing,LogisticRegression,tuned,0.2,0.2,natural,0.0331,468,94,0.802547770700637,0.579337899543379,0.5565110565110566,0.7710684048263666,0.6405335903302649,0.0
balance_scale__seed1__setting4__RandomForest__default,balance_scale,1,4,noise_missing,RandomForest,default,0.2,0.2,natural,0.5656,468,94,0.6178343949044586,0.4459665144596651,0.45700965700965696,0.6331172012700674,0.34753102084544535,0.0
balance_scale__seed1__setting4__RandomForest__tuned,balance_scale,1,4,noise_missing,RandomForest,tuned,0.2,0.2,natural,0.5344,468,94,0.7133757961783439,0.5148401826484018,0.5009685993602739,0.6941237540277004,0.47905165797335486,0.0
balance_scale__seed1__setting4__XGBoost__default,balance_scale,1,4,noise_missing,XGBoost,default,0.2,0.2,natural,0.3274,468,94,0.5923566878980892,0.42744799594114663,0.43477546729739497,0.6024377949869404,0.29752496093297287,0.0
balance_scale__seed1__setting4__XGBoost__tuned,balance_scale,1,4,noise_missing,XGBoost,tuned,0.2,0.2,natural,0.2095,468,94,0.6560509554140127,0.496638762049721,0.4977574149987943,0.660071665650405,0.39937612042450016,0.08333333333333333
balance_scale__seed1__setting4__LightGBM__default,balance_scale,1,4,noise_missing,LightGBM,default,0.2,0.2,natural,0.3278,468,94,0.6369426751592356,0.45985540334855407,0.4678160919540229,0.6480781902042609,0.3749908143332874,0.0
balance_scale__seed1__setting4__LightGBM__tuned,balance_scale,1,4,noise_missing,LightGBM,tuned,0.2,0.2,natural,0.1954,468,94,0.6114649681528662,0.4644850329781837,0.4698950629706025,0.6269595432290754,0.3396796097263183,0.08333333333333333
balance_scale__seed1__setting5__LogisticRegression__default,balance_scale,1,5,noise_imbalance,LogisticRegression,default,0.2,0.0,0.8,0.032,251,94,0.5987261146496815,0.4305555555555556,0.38339249884241394,0.5319193907214195,0.37114394874922746,0.0
balance_scale__seed1__setting5__LogisticRegression__tuned,balance_scale,1,5,noise_imbalance,LogisticRegression,tuned,0.2,0.0,0.8,0.0317,251,94,0.6050955414012739,0.4351851851851852,0.3900027277686852,0.5410351100315866,0.3812823019809164,0.0
balance_scale__seed1__setting5__RandomForest__default,balance_scale,1,5,noise_imbalance,RandomForest,default,0.2,0.0,0.8,0.5489,251,94,0.6178343949044586,0.4444444444444444,0.4052287581699347,0.5620706881478706,0.3981115327057939,0.0
balance_scale__seed1__setting5__RandomForest__tuned,balance_scale,1,5,noise_imbalance,RandomForest,tuned,0.2,0.0,0.8,0.5455,251,94,0.5859872611464968,0.4212962962962963,0.3698418485148343,0.513234282848193,0.35046080013763137,0.0
balance_scale__seed1__setting5__XGBoost__default,balance_scale,1,5,noise_imbalance,XGBoost,default,0.2,0.0,0.8,0.2888,251,94,0.6305732484076433,0.4537671232876712,0.4212060301507538,0.5841026790000959,0.4062744813592051,0.0
balance_scale__seed1__setting5__XGBoost__tuned,balance_scale,1,5,noise_imbalance,XGBoost,tuned,0.2,0.0,0.8,0.2043,251,94,0.643312101910828,0.46302638254693046,0.4326251720649452,0.5998130908056077,0.43172106051970005,0.0
balance_scale__seed1__setting5__LightGBM__default,balance_scale,1,5,noise_imbalance,LightGBM,default,0.2,0.0,0.8,0.1862,251,94,0.6369426751592356,0.4584601725012684,0.4335287379556633,0.6011093386070694,0.4113943467570472,0.0
